Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,4000,COL23-04C-0030,MONAMI STRAWBERRY JAR 200PCSX12,,1572.62,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1102,MONAMI STRAW. JAR 200PCSX12,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1240.32,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1102,MONAMI STRAW. JAR 200PCSX12,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1240.32,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1102,MONAMI STRAW. JAR 200PCSX12,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,FROOTY MILKY POP 20PCSX32,,1219.18,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1085,FROOTY MILKY POP 20PCSX32,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,995.52,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1085,FROOTY MILKY POP 20PCSX32,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,995.52,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,1085,FROOTY MILKY POP 20PCSX32,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,POTCHI CHOCO PEACH MANGO MALLOWS 24PCSX18,,478.21,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,161,POTCHI CHOCO P. MANGO MALLOWS,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,CIOCO LUVLOV CHOCO BALLS 24PCSX40,,1039.15,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,641,CIOCO LUVLOV CHOCO BALLS 24X40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,890.58,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,641,CIOCO LUVLOV CHOCO BALLS 24X40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,890.58,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,641,CIOCO LUVLOV CHOCO BALLS 24X40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,Gaisano Discount 5%,1513.1,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,"30,262.05",DSC4,Gaisano Discount,CASE,CIFPI
04/11/2023,1100,COL23-04C-0030,GAISANO SUKI CLUB/NEOPACE INC.,28748.95,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,,,,CASE,CIFPI
04/11/2023,4000,COL23-04C-0104,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,1077.36,J & J STORE (GINGOOG),NONITO TEE,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0104,Cost of sales,1002.95,,J & J STORE (GINGOOG),NONITO TEE,1,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
