Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,1200,COL23-03C-0469,Cost of sales,,"22,603.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),20,830,FRUTOS 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0469,POTCHI GUMMY WORMS JAR 120PCSX12,,"12,260.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,749,POTCHI G.WORMS JAR 120PCSX12,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"9,417.70",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,749,POTCHI G.WORMS JAR 120PCSX12,Case,CIFPI
3/28/23,1200,COL23-03C-0469,Cost of sales,,"9,417.70",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,749,POTCHI G.WORMS JAR 120PCSX12,Case,CIFPI
3/28/23,4000,COL23-03C-0469,POTCHI HOOLA HOOP JAR 120PCX12,,"6,130.10",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,112,POTCHI HOOLAHOOP JAR 120PCSX12,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"4,708.85",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,112,POTCHI HOOLAHOOP JAR 120PCSX12,Case,CIFPI
3/28/23,1200,COL23-03C-0469,Cost of sales,,"4,708.85",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),5,112,POTCHI HOOLAHOOP JAR 120PCSX12,Case,CIFPI
3/28/23,4000,COL23-03C-0469,POTCHI STRAWBERRY 50PCSX40,,"14,839.20",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"11,527.60",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0469,Cost of sales,,"11,527.60",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0469,V FRESH WINTER 50PCSX40,,"22,258.80",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),15,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"18,415.05",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),15,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0469,Cost of sales,,"18,415.05",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),15,988,V FRESH WINTER 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0469,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,"10,562.40",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0469,Cost of sales,"10,029.50",,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0469,Cost of sales,,"10,029.50",JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),10,876,YAKEE! SUPER ASIM 25PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0469,COLUMBIA DISCOUNT,945.63,,JULMAR COMMERCIAL INC.,DAN BORJA JR. (CDO),"94,562.70",DSC1,DISCOUNT,Case,CIFPI
