ID,quantity,Running Inventory,user_id,created_at,updated_at,transaction_type,all_id,principal_id,sku_type,adjustment,remarks,amount,running_amount
1133,0,0,1,,,migration,,7,BUTAL,0,,13.72260702,0
1134,8,8,1,,,migration,,7,BUTAL,0,,52.74564342,421.9651473
1135,39,39,1,,,migration,,7,BUTAL,0,,30.36869239,1184.379003
1136,0,0,1,,,migration,,7,BUTAL,0,,0,0
1137,0,0,1,,,migration,,7,BUTAL,0,,0,0
1138,0,0,1,,,migration,,7,BUTAL,0,,19.13668274,0
1139,7,7,1,,,migration,,7,BUTAL,0,,30.36869239,212.5808467
1140,16,16,1,,,migration,,7,BUTAL,0,,29.17876142,466.8601828
1141,10,10,1,,,migration,,7,BUTAL,0,,29.17876142,291.7876142
1142,42,42,1,,,migration,,7,BUTAL,0,,27.98858363,1175.520513
1143,17,17,1,,,migration,,7,BUTAL,0,,27.98858363,475.8059218
1144,1,1,1,,,migration,,7,BUTAL,0,,105.0193445,105.0193445
1145,0,0,1,,,migration,,7,BUTAL,0,,105.0193445,0
1146,0,0,1,,,migration,,7,BUTAL,0,,105.0193445,0
1147,17,17,1,,,migration,,7,BUTAL,0,,27.98858363,475.8059218
1148,25,25,1,,,migration,,7,BUTAL,0,,29.57540508,739.385127
1149,0,0,1,,,migration,,7,BUTAL,0,,17.52491066,0
1150,0,0,1,,,migration,,7,BUTAL,0,,120.4173822,0
1151,8,8,1,,,migration,,7,BUTAL,0,,83.68730407,669.4984325
1152,9,9,1,,,migration,,7,BUTAL,0,,83.68730407,753.1857366
1153,23,23,1,,,migration,,7,BUTAL,0,,83.68730407,1924.807994
1154,0,0,1,,,migration,,7,BUTAL,0,,27.9450495,0
1155,0,0,1,,,migration,,7,BUTAL,0,,0,0
1156,0,0,1,,,migration,,7,BUTAL,0,,0,0
1157,0,0,1,,,migration,,7,BUTAL,0,,0,0
1158,0,0,1,,,migration,,7,BUTAL,0,,0,0
1159,0,0,1,,,migration,,7,BUTAL,0,,0,0
1160,0,0,1,,,migration,,7,BUTAL,0,,81.30711304,0
1161,0,0,1,,,migration,,7,BUTAL,0,,27.9450495,0
1162,9,9,1,,,migration,,7,BUTAL,0,,29.57540508,266.1786457
1163,0,0,1,,,migration,,7,BUTAL,0,,0,0
1164,0,0,1,,,migration,,7,BUTAL,0,,95.11808249,0
1165,0,0,1,,,migration,,7,BUTAL,0,,0,0
1166,0,0,1,,,migration,,7,BUTAL,0,,0,0
1167,0,0,1,,,migration,,7,BUTAL,0,,0,0
1168,0,0,1,,,migration,,7,BUTAL,0,,0,0
1169,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1170,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1171,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1172,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1173,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1174,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1175,29,29,1,,,migration,,7,BUTAL,0,,20.53524872,595.5222128
1176,28,28,1,,,migration,,7,BUTAL,0,,20.53524872,574.986964
1177,0,0,1,,,migration,,7,BUTAL,0,,16.88182081,0
1178,0,0,1,,,migration,,7,BUTAL,0,,120.4173822,0
1179,0,0,1,,,migration,,7,BUTAL,0,,0,0
1180,0,0,1,,,migration,,7,BUTAL,0,,120.4173822,0
1181,0,0,1,,,migration,,7,BUTAL,0,,29.57540508,0
1182,42,42,1,,,migration,,7,BUTAL,0,,25.60847488,1075.555945
1183,0,0,1,,,migration,,7,BUTAL,0,,43.98850788,0
1184,0,0,1,,,migration,,7,BUTAL,0,,16.22030599,0
1185,2,2,1,,,migration,,7,BUTAL,0,,104.3142551,208.6285102
1186,8,8,1,,,migration,,7,BUTAL,0,,19.90506878,159.2405503
1187,39,39,1,,,migration,,7,BUTAL,0,,19.90506878,776.2976826
1188,26,26,1,,,migration,,7,BUTAL,0,,19.90506878,517.5317884
1189,27,27,1,,,migration,,7,BUTAL,0,,25.60847488,691.4288217
1190,19,19,1,,,migration,,7,BUTAL,0,,25.60847488,486.5610227
1191,0,0,1,,,migration,,7,BUTAL,0,,0,0
1192,17,17,1,,,migration,,7,BUTAL,0,,30.55619239,519.4552706
1193,0,0,1,,,migration,,7,BUTAL,0,,0,0
1194,14,14,1,,,migration,,7,BUTAL,0,,22.78778807,319.029033
1195,13,13,1,,,migration,,7,BUTAL,0,,29.57540508,384.480266
1196,29,29,1,,,migration,,7,BUTAL,0,,29.17876142,846.1840813
1197,33,33,1,,,migration,,7,BUTAL,0,,29.17876142,962.899127
1198,18,18,1,,,migration,,7,BUTAL,0,,29.17876142,525.2177056
1199,29,29,1,,,migration,,7,BUTAL,0,,29.17876142,846.1840813
1200,0,0,1,,,migration,,7,BUTAL,0,,15.93833604,0
1201,0,0,1,,,migration,,7,BUTAL,0,,46.10476345,0
1202,0,0,1,,,migration,,7,BUTAL,0,,46.10476345,0
1203,31,31,1,,,migration,,7,BUTAL,0,,29.17876142,904.5416041
1204,0,0,1,,,migration,,7,BUTAL,0,,46.10476345,0
1205,5,5,1,,,migration,,7,BUTAL,0,,29.17876142,145.8938071
1206,0,0,1,,,migration,,7,BUTAL,0,,0,0
1207,0,0,1,,,migration,,7,BUTAL,0,,11.3131264,0
1208,0,0,1,,,migration,,7,BUTAL,0,,14.69243909,0
1209,0,0,1,,,migration,,7,BUTAL,0,,14.69243909,0
1210,32,32,1,,,migration,,7,BUTAL,0,,29.57540508,946.4129625
1211,0,0,1,,,migration,,7,BUTAL,0,,11.3131264,0
1212,0,0,1,,,migration,,7,BUTAL,0,,14.69243909,0
1213,0,0,1,,,migration,,7,BUTAL,0,,23.36066295,0
1214,39,39,1,,,migration,,7,BUTAL,0,,29.57540508,1153.440798
1215,15,15,1,,,migration,,7,BUTAL,0,,39.8458401,597.6876015
1216,14,14,1,,,migration,,7,BUTAL,0,,39.8458401,557.8417614
1217,10,10,1,,,migration,,7,BUTAL,0,,39.8458401,398.458401
1218,0,0,1,,,migration,,7,BUTAL,0,,0,0
1219,3,3,1,,,migration,,7,BUTAL,0,,39.8458401,119.5375203
1220,3,3,1,,,migration,,7,BUTAL,0,,40.01245192,120.0373558
1221,4,4,1,,,migration,,7,BUTAL,0,,40.01245192,160.0498077
1222,14,14,1,,,migration,,7,BUTAL,0,,40.01245192,560.1743269
1223,13,13,1,,,migration,,7,BUTAL,0,,40.01245192,520.161875
1224,2,2,1,,,migration,,7,BUTAL,0,,39.8458401,79.69168021
1225,16,16,1,,,migration,,7,BUTAL,0,,39.8458401,637.5334416
1226,10,10,1,,,migration,,7,BUTAL,0,,39.8458401,398.458401
1227,15,15,1,,,migration,,7,BUTAL,0,,39.8458401,597.6876015
1228,0,0,1,,,migration,,7,BUTAL,0,,43.81227666,0
1229,26,26,1,,,migration,,7,BUTAL,0,,39.8458401,1035.991843
1230,0,0,1,,,migration,,7,BUTAL,0,,70.43583883,0
1231,0,0,1,,,migration,,7,BUTAL,0,,70.43583883,0
1232,0,0,1,,,migration,,7,BUTAL,0,,41.07945864,0
1233,0,0,1,,,migration,,7,BUTAL,0,,41.07945864,0
1234,0,0,1,,,migration,,7,BUTAL,0,,0,0
1235,0,0,1,,,migration,,7,BUTAL,0,,41.07945864,0
1236,0,0,1,,,migration,,7,BUTAL,0,,66.84882171,0
1237,0,0,1,,,migration,,7,BUTAL,0,,66.84882171,0
1238,0,0,1,,,migration,,7,BUTAL,0,,54.36233038,0
1239,0,0,1,,,migration,,7,BUTAL,0,,54.36233038,0
1240,0,0,1,,,migration,,7,BUTAL,0,,9.168239425,0
1241,0,0,1,,,migration,,7,BUTAL,0,,14.6922334,0
1242,0,0,1,,,migration,,7,BUTAL,0,,43.56384877,0
1243,35,35,1,,,migration,,7,BUTAL,0,,20.84850419,729.6976466
1244,0,0,1,,,migration,,7,BUTAL,0,,16.88157399,0
1245,0,0,1,,,migration,,7,BUTAL,0,,16.88157399,0
1246,0,0,1,,,migration,,7,BUTAL,0,,34.20397285,0
1247,0,0,1,,,migration,,7,BUTAL,0,,14.76605888,0
1248,0,0,1,,,migration,,7,BUTAL,0,,14.76605888,0
1249,0,0,1,,,migration,,7,BUTAL,0,,23.36155685,0
1250,0,0,1,,,migration,,7,BUTAL,0,,23.36155685,0
1251,12,12,1,,,migration,,7,BUTAL,0,,101.9922741,1223.907289
1252,6,6,1,,,migration,,7,BUTAL,0,,101.9922741,611.9536447
1253,31,31,1,,,migration,,7,BUTAL,0,,17.55002585,544.0508013
1254,16,16,1,,,migration,,7,BUTAL,0,,17.55002585,280.8004136
1255,10,10,1,,,migration,,7,BUTAL,0,,17.55002585,17.55002585
1256,0,0,1,,,migration,,7,BUTAL,0,,16.75649171,0
1257,20,20,1,,,migration,,7,BUTAL,0,,29.57540508,591.5081016
1258,0,0,1,,,migration,,7,BUTAL,0,,67.61287057,0
1259,0,0,1,,,migration,,7,BUTAL,0,,14.76605888,0
1260,0,0,1,,,migration,,7,BUTAL,0,,19.90506878,0
1261,0,0,1,,,migration,,7,BUTAL,0,,0,0
1262,0,0,1,,,migration,,7,BUTAL,0,,39.0812976,0
1263,0,0,1,,,migration,,7,BUTAL,0,,39.0812976,0
1264,-2,-2,1,,,migration,,7,BUTAL,0,,49.90939789,-99.81879578
1265,17,17,1,,,migration,,7,BUTAL,0,,49.90939789,848.4597641
1266,13,13,1,,,migration,,7,BUTAL,0,,28.35645136,368.6338676
1267,0,0,1,,,migration,,7,BUTAL,0,,47.77920686,0
1268,0,0,1,,,migration,,7,BUTAL,0,,39.22878401,0
1269,15,15,1,,,migration,,7,BUTAL,0,,50.15906879,752.3860319
1644,0,0,1,,,migration,,7,BUTAL,0,,20.84850419,0
1646,0,0,1,,,migration,,7,BUTAL,0,,20.84850419,0
1648,21,21,1,,,migration,,7,BUTAL,0,,20.53524872,431.240223
1650,1,1,1,,,migration,,7,BUTAL,0,,95.18375,95.18375
1652,0,0,1,,,migration,,7,BUTAL,0,,28.35645136,0
1654,27,27,1,,,migration,,7,BUTAL,0,,30.55619239,825.0171945
1656,10,10,1,,,migration,,7,BUTAL,0,,30.55619239,305.5619239
1658,20,20,1,,,migration,,7,BUTAL,0,,30.55619239,611.1238478
1688,0,0,1,,,migration,,7,BUTAL,0,,15.93833604,0
1690,0,0,1,,,migration,,7,BUTAL,0,,31.11869239,0
1692,14,14,1,,,migration,,7,BUTAL,0,,30.86869239,432.1616935
1694,0,0,1,,,migration,,7,BUTAL,0,,17.55002585,0
,42,42,1,,,migration,,7,BUTAL,0,,4.927920686,206.9726688
,8,8,1,,,migration,,7,BUTAL,0,,95.11808249,760.9446599
